,,,X,Y,,D,dy,d2y,Inst. Radius,Centr. Acc,Max Vel.,In track,optim angl,MAX VEL,In track
,,,23.5,176.4174375,,1.438059113,84.67995,39.54587113,15357.8872,0.24316938,336.1482635,YES,1.419951746,352.8895921,YES
,,,24,177.7056,,1.381796883,87.5068,39.8318432,16825.9685,0.221952626,351.8480684,YES,1.296103923,369.3713007,YES
,,,24.5,178.9363625,,1.328448844,90.38915,40.10507248,18417.44284,0.202773422,368.1118522,YES,1.184139354,386.4450763,YES
,,,25,180.1125,,1.278006032,93.327,40.366175,20140.91084,0.185421997,384.9503234,YES,1.082837201,404.1221608,YES
,,,25.5,181.2367875,,1.230456169,96.32035,40.61576683,22005.42252,0.169711256,402.3740749,YES,0.991107935,422.4136745,YES
,,,26,182.312,,1.185783252,99.3692,40.854464,24020.48841,0.15547427,420.3935579,YES,0.907978978,441.330589,YES
,,,26.5,183.3409125,,1.14396719,102.47355,41.08288258,26196.08985,0.142562036,439.0190555,YES,0.832581859,460.8836998,YES
,,,27,184.3263,,1.104983495,105.6334,41.3016386,28542.68812,0.130841492,458.2606549,YES,0.764140754,481.0835965,YES
,,,27.5,185.2709375,,1.068803072,108.84875,41.51134813,31071.23252,0.120193748,478.1282185,YES,0.701962277,501.9406324,YES
,,,28,186.1776,,1.035392143,112.1196,41.7126272,33793.16702,0.110512516,498.6313532,YES,0.645426391,523.464893,YES
,,,28.5,187.0490625,,1.004712341,115.44595,41.90609188,36720.43536,0.101702713,519.7793793,YES,0.593978336,545.6661629,YES
,,,29,187.8881,,0.976721007,118.8278,42.0923582,39865.4845,0.09367923,541.5812978,YES,0.547121445,568.5538913,YES
,,,29.5,188.6974875,,0.951371707,122.26515,42.27204223,43241.26615,0.086365831,564.0457568,YES,0.504410784,592.1371567,YES
,,,30,189.48,,0.928614997,125.758,42.44576,46861.23625,0.079694182,587.1810161,YES,0.465447487,616.4246308,YES
,,,30.5,190.2384125,,0.908399428,129.30635,42.61412758,50739.35207,0.073602988,610.9949123,YES,0.429873743,641.4245402,YES
,,,31,190.9755,,0.89067277,132.9102,42.777761,54890.06702,0.068037226,635.4948215,YES,0.397368339,667.1446283,YES
,,,31.5,191.6940375,,0.875383424,136.56955,42.93727633,59328.32262,0.062947472,660.6876219,YES,0.367642707,693.5921159,YES
27,,,32,192.3968,,0.86248196,140.2844,43.0932896,64069.53771,0.058289291,686.5796558,YES,0.340437415,720.7736613,YES
337.68,,,32.5,193.0865625,,0.851922712,144.05475,43.24641688,69129.59463,0.054022708,713.1766909,YES,0.315519049,748.6953194,YES
329.14,,,33,193.7661,,0.843665345,147.8806,43.3972742,74524.82209,0.050111732,740.4838813,YES,0.292677448,777.3625009,YES
321.39,,,33.5,194.4381875,,0.837676314,151.76195,43.54647763,80271.97471,0.046523932,768.505728,YES,0.271723239,806.779931,YES
313.57,,,34,195.1056,,0.83393012,155.6988,43.6946432,86388.20905,0.043230065,797.2460399,YES,0.252485652,836.9516083,YES
300.4,,,34.5,195.7711125,,0.832410288,159.69115,43.84238698,92891.05583,0.04020374,826.7078947,YES,0.234810576,867.8807639,YES
299.31,,,35,196.4375,,0.833110017,163.739,43.990325,99798.38841,0.037421124,856.8936006,YES,0.218558827,899.5698207,YES
,,,35.5,197.1075375,,0.836032446,167.84235,44.13907333,107128.3874,0.034860675,887.8046578,YES,0.203604602,932.0203539,YES
,,,36,197.784,,0.841190534,172.0012,44.289248,114899.5013,0.032502908,919.4417223,YES,0.189834111,965.2330519,YES
,,,36.5,198.4696625,,0.848606542,176.21555,44.44146508,123130.4028,0.030330185,951.8045697,YES,0.177144348,999.2076794,YES
,,,37,199.1673,,0.85831118,180.4854,44.5963406,131839.9419,0.028326529,984.8920615,YES,0.165442001,1033.943041,YES
,,,37.5,199.8796875,,0.870342433,184.81075,44.75449063,141047.094,0.026477454,1018.702112,YES,0.154642474,1069.436948,YES
,,,38,200.6096,,0.884744176,189.1916,44.9165312,150770.9046,0.024769818,1053.231661,YES,0.144669014,1105.686185,YES
,,,38.5,201.3598125,,0.901564637,193.62795,45.08307838,161030.4308,0.02319169,1088.476639,YES,0.135451937,1142.686484,YES
,,,39,202.1331,,0.920854797,198.1198,45.2547482,171844.6779,0.021732229,1124.431953,YES,0.126927927,1180.432495,YES
,,,39.5,202.9322375,,0.942666826,202.66715,45.43215673,183232.5337,0.020381576,1161.091455,YES,0.119039412,1218.917764,YES
,,,40,203.76,,0.967052613,207.27,45.61592,195212.6996,0.019130763,1198.447928,YES,0.111734005,1258.134718,YES
,,,40.5,204.6191625,,0.994062474,211.92835,45.80665408,207803.618,0.017971621,1236.493073,YES,0.104964005,1298.07464,YES
